duration_samples,duration_time,mean_velocity,std_velocity,mean_acceleration,mean_jerk,blink_count,blink_rate,participant_id,trial_number,condition,trial_type,file_path,gaze_entropy,fixation_ratio,rolling_entropy_std,rolling_blink_std
7450,46.543963,2.118361042477217,1.5296663144613076,0.0004382280081553,6.622814198515546e-05,0,0.0,29,2,Unknown,first,first trials/029_2.csv,4.117957592741264,0.0,0.608698959014208,0.0
7450,46.543963,2.118361042477217,1.5296663144613076,0.0004382280081553,6.622814198515546e-05,0,0.0,29,2,Unknown,first,first trials/029_2.csv,4.229492149158589,0.0,0.608698959014208,0.0
40800,255.179596,3.0875060732383623,1.681901042832359,6.200550921359973e-05,-2.445610993191503e-06,0,0.0,16,0,Unknown,first,first trials/016_0.csv,4.67025582102996,0.0,0.17328208135909345,0.0
40800,255.179596,3.0875060732383623,1.681901042832359,6.200550921359973e-05,-2.445610993191503e-06,0,0.0,16,0,Unknown,first,first trials/016_0.csv,4.563921536332865,0.0,0.17328208135909345,0.0
40800,256.083534,2.315275001166719,1.5558689734904798,2.675012980357636e-05,-6.952909867161491e-05,2297,0.0562990196078431,53,0,Unknown,first,first trials/053_0.csv,5.081766169258051,0.0,0.46617755739386835,0.01340888516968039
33920,212.55913,1.5084561219996115,1.000382689555984,8.163829563653304e-05,1.5434528312416514e-05,1505,0.0443691037735849,32,1,Unknown,first,first trials/032_1.csv,4.487130614097664,0.0,0.6486394583386,0.011189626955883714
33920,212.55913,1.5084561219996115,1.000382689555984,8.163829563653304e-05,1.5434528312416514e-05,1505,0.0443691037735849,32,1,Unknown,first,first trials/032_1.csv,4.898094446635655,0.0,0.6486394583386,0.011189626955883714
40800,255.159053,2.3839500639221622,1.4562833305715024,5.219127229691747e-05,1.0188662132667077e-07,1337,0.0327696078431372,51,2,Unknown,first,first trials/051_2.csv,4.294917862561126,0.0,0.33116908501609466,0.011271922703186525
33920,212.10558,2.5298668783215907,1.5031283580433037,3.39942095284441e-05,-0.000134300400605,1123,0.0331073113207547,51,3,Unknown,first,first trials/051_3.csv,5.078810657452928,0.0,0.24398356651313483,0.009030885649068263
40800,256.183537,1.4870193098218298,0.9654317275697454,3.1426774547722265e-05,2.4243032387547645e-05,1876,0.0459803921568627,32,0,Unknown,first,first trials/032_0.csv,4.266644792982849,1.0,0.5299453806930456,0.012061570440099477
40800,256.183537,1.4870193098218298,0.9654317275697454,3.1426774547722265e-05,2.4243032387547645e-05,1876,0.0459803921568627,32,0,Unknown,first,first trials/032_0.csv,4.580795704126238,1.0,0.5299453806930456,0.012061570440099477
33920,212.009155,4.140422867319774,2.679874262903537,8.25146776527572e-05,-0.0001108931532093,0,0.0,16,1,Unknown,first,first trials/016_1.csv,4.8172012701846665,0.0,0.18533795681957346,0.0
33920,212.009155,4.140422867319774,2.679874262903537,8.25146776527572e-05,-0.0001108931532093,0,0.0,16,1,Unknown,first,first trials/016_1.csv,5.281526492997307,0.0,0.18533795681957346,0.0
33920,212.508733,2.49090373186659,1.7769793571410453,8.467897424252749e-05,-1.513338526826828e-05,1957,0.0576945754716981,53,1,Unknown,first,first trials/053_1.csv,5.391843674006971,0.0,0.6359173357965046,0.01409257882453405
40800,255.481211,1.9142744737851685,1.3495975935243305,3.340505073632147e-05,-5.1945451851490895e-06,1826,0.0447549019607843,48,2,Unknown,first,first trials/048_2.csv,5.180465194150572,0.0,0.4112008472441306,0.013220925343598878
40800,255.481211,1.9142744737851685,1.3495975935243305,3.340505073632147e-05,-5.1945451851490895e-06,1826,0.0447549019607843,48,2,Unknown,first,first trials/048_2.csv,5.088830278295861,0.0,0.4112008472441306,0.013220925343598878
33819,211.48758,2.161494598304412,2.2209901578974964,6.479765802848407e-05,-8.962369399966033e-06,0,0.0,29,3,Unknown,first,first trials/029_3.csv,3.895028212822001,0.0,0.887802413294341,0.0
33819,211.48758,2.161494598304412,2.2209901578974964,6.479765802848407e-05,-8.962369399966033e-06,0,0.0,29,3,Unknown,first,first trials/029_3.csv,4.749197839614177,0.0,0.887802413294341,0.0
33895,212.347056,1.694139212519743,1.6782743080978932,2.9143804571404135e-05,-6.382406294242131e-06,0,0.0,29,1,Unknown,first,first trials/029_1.csv,4.339288251256567,0.0,0.9594190329205495,0.0
33895,212.347056,1.694139212519743,1.6782743080978932,2.9143804571404135e-05,-6.382406294242131e-06,0,0.0,29,1,Unknown,first,first trials/029_1.csv,4.811651953610079,0.0,0.9594190329205495,0.0
7458,46.573715,1.7796568277000058,1.3576282702999805,0.0004495052713191,0.000212940142848,304,0.0407615982837221,48,0,Unknown,first,first trials/048_0.csv,4.367185271863437,0.0,0.5348249861209069,0.01078184274169166
7458,46.573715,1.7796568277000058,1.3576282702999805,0.0004495052713191,0.000212940142848,304,0.0407615982837221,48,0,Unknown,first,first trials/048_0.csv,3.9959863276719063,0.0,0.5348249861209069,0.01078184274169166
33920,213.254477,1.637179884983366,0.9665380406377524,3.269274593557709e-05,-2.2632599204156795e-05,24,0.0007075471698113,16,3,Unknown,first,first trials/016_3.csv,5.474684178426924,0.0,0.3520008780589895,0.0015006604533306083
33920,213.254477,1.637179884983366,0.9665380406377524,3.269274593557709e-05,-2.2632599204156795e-05,24,0.0007075471698113,16,3,Unknown,first,first trials/016_3.csv,5.348213164656697,0.0,0.3520008780589895,0.0015006604533306083
33920,212.431048,2.45949300574097,1.5607023162364104,9.134441619610396e-05,1.0256357072406832e-05,1148,0.0338443396226415,51,1,Unknown,first,first trials/051_1.csv,4.957131662690274,0.0,0.40199089358088674,0.011560336112276049
40800,255.398628,1.6048293211810112,1.1248699593409277,2.7118974472931503e-05,-1.3300532733676447e-05,1961,0.048063725490196,32,2,Unknown,first,first trials/032_2.csv,4.414925793509275,0.0,0.44160228050697087,0.013010260568058315
40800,255.398628,1.6048293211810112,1.1248699593409277,2.7118974472931503e-05,-1.3300532733676447e-05,1961,0.048063725490196,32,2,Unknown,first,first trials/032_2.csv,4.606556603276484,0.0,0.44160228050697087,0.013010260568058315
33920,213.286774,1.6337572247370575,1.3214505739454905,3.2062380385158795e-05,1.1304361662472367e-05,1548,0.0456367924528301,32,3,Unknown,first,first trials/032_3.csv,3.5959325983246764,0.0,0.5648539607158685,0.012282160008623226
33920,213.286774,1.6337572247370575,1.3214505739454905,3.2062380385158795e-05,1.1304361662472367e-05,1548,0.0456367924528301,32,3,Unknown,first,first trials/032_3.csv,4.9365261194188585,0.0,0.5648539607158685,0.012282160008623226
40800,255.568834,2.321948015607862,1.394975045744457,0.0001235069002749,-1.856994953024291e-05,1428,0.035,51,0,Unknown,first,first trials/051_0.csv,4.785447705945831,0.0,0.3595257465465569,0.011445822762499969
40800,256.23743,1.5669139967805512,0.947246067796146,3.457346396719454e-05,-2.4195804228024646e-06,33,0.0008088235294117,16,2,Unknown,first,first trials/016_2.csv,4.165967272631198,0.0,0.48418896712687887,0.0016463785756216942
40800,256.23743,1.5669139967805512,0.947246067796146,3.457346396719454e-05,-2.4195804228024646e-06,33,0.0008088235294117,16,2,Unknown,first,first trials/016_2.csv,4.6864666689261805,0.0,0.48418896712687887,0.0016463785756216942
33920,212.32478,1.8685730285936089,1.3055222613065192,9.658772295865418e-05,3.640437890081738e-05,1487,0.0438384433962264,48,1,Unknown,first,first trials/048_1.csv,5.423561936400674,0.0,0.5377803095672842,0.01284673467182345
33920,212.32478,1.8685730285936089,1.3055222613065192,9.658772295865418e-05,3.640437890081738e-05,1487,0.0438384433962264,48,1,Unknown,first,first trials/048_1.csv,5.152258499488643,0.0,0.5377803095672842,0.01284673467182345
40792,255.77896,1.9523001574395036,1.8168301524616868,3.153590468827131e-05,7.264551367525333e-06,0,0.0,29,0,Unknown,first,first trials/029_0.csv,3.745977921093255,0.0,0.978096294150991,0.0
40792,255.77896,1.9523001574395036,1.8168301524616868,3.153590468827131e-05,7.264551367525333e-06,0,0.0,29,0,Unknown,first,first trials/029_0.csv,4.740578707056064,0.0,0.978096294150991,0.0
33920,212.184025,1.7244077694269124,1.2159633135515198,3.384943942188542e-05,-1.0903346252443574e-05,0,0.0,34,1,Unknown,first,first trials/034_1.csv,4.571878700914942,0.0,0.842273690302811,0.0
33920,212.296455,1.7583826399675129,1.0582153542776755,5.604365694105959e-05,2.0772620928382466e-05,0,0.0,71,1,Unknown,first,first trials/071_1.csv,5.252274146408174,0.0,0.6738221713256723,0.0
33920,212.296455,1.7583826399675129,1.0582153542776755,5.604365694105959e-05,2.0772620928382466e-05,0,0.0,71,1,Unknown,first,first trials/071_1.csv,5.181282205342358,0.0,0.6738221713256723,0.0
40800,255.734441,2.412725730082138,1.6328814625224657,9.75867684188873e-05,4.853670978355641e-05,390,0.0095588235294117,57,2,Unknown,first,first trials/057_2.csv,4.418374862194287,0.0,0.7487689115679681,0.005379430416404535
40800,255.734441,2.412725730082138,1.6328814625224657,9.75867684188873e-05,4.853670978355641e-05,390,0.0095588235294117,57,2,Unknown,first,first trials/057_2.csv,4.951495700140995,0.0,0.7487689115679681,0.005379430416404535
33920,213.426321,1.6869672574676866,1.096940171720717,3.9094529205230055e-05,-5.674901880620254e-05,457,0.0134728773584905,36,3,Unknown,first,first trials/036_3.csv,5.204405051750617,0.0,0.5325763678932149,0.00677477797596302
33920,213.426321,1.6869672574676866,1.096940171720717,3.9094529205230055e-05,-5.674901880620254e-05,457,0.0134728773584905,36,3,Unknown,first,first trials/036_3.csv,5.122307430115683,0.0,0.5325763678932149,0.00677477797596302
33912,212.776135,2.489582305430323,1.4648222863686386,6.037590474985757e-05,-6.197699132465555e-05,0,0.0,9,1,Unknown,first,first trials/009_1.csv,3.681615618607308,0.0,0.3802244664088614,0.0
33912,212.776135,2.489582305430323,1.4648222863686386,6.037590474985757e-05,-6.197699132465555e-05,0,0.0,9,1,Unknown,first,first trials/009_1.csv,2.975638608209851,0.0,0.3802244664088614,0.0
40800,259.322406,2.0433654983289355,1.1314715935065496,5.2616458893795866e-05,1.2704209377135484e-05,0,0.0,9,0,Unknown,first,first trials/009_0.csv,4.319300595308595,0.0,0.4835574791971003,0.0
40800,259.322406,2.0433654983289355,1.1314715935065496,5.2616458893795866e-05,1.2704209377135484e-05,0,0.0,9,0,Unknown,first,first trials/009_0.csv,4.480875590174713,0.0,0.4835574791971003,0.0
