duration_samples,duration_time,mean_velocity,std_velocity,mean_acceleration,mean_jerk,blink_count,blink_rate,participant_id,trial_number,condition,trial_type,file_path,gaze_entropy
7450,46.543963,2.1183610424772166,1.5296663144613076,0.00043822800815531294,6.622814198515546e-05,0,0.0,029,2,Unknown,first,first trials/029_2.csv,4.117957592741264
7450,46.543963,2.1183610424772166,1.5296663144613076,0.00043822800815531294,6.622814198515546e-05,0,0.0,029,2,Unknown,first,first trials/029_2.csv,4.229492149158589
40800,255.179596,3.0875060732383623,1.681901042832359,6.200550921359973e-05,-2.445610993191503e-06,0,0.0,016,0,Unknown,first,first trials/016_0.csv,4.67025582102996
40800,255.179596,3.0875060732383623,1.681901042832359,6.200550921359973e-05,-2.445610993191503e-06,0,0.0,016,0,Unknown,first,first trials/016_0.csv,4.563921536332865
40800,256.083534,2.315275001166719,1.5558689734904798,2.675012980357636e-05,-6.952909867161491e-05,2297,0.056299019607843136,053,0,Unknown,first,first trials/053_0.csv,5.081766169258051
33920,212.55913,1.5084561219996115,1.000382689555984,8.163829563653304e-05,1.5434528312416514e-05,1505,0.044369103773584904,032,1,Unknown,first,first trials/032_1.csv,4.487130614097664
33920,212.55913,1.5084561219996115,1.000382689555984,8.163829563653304e-05,1.5434528312416514e-05,1505,0.044369103773584904,032,1,Unknown,first,first trials/032_1.csv,4.898094446635655
40800,255.159053,2.3839500639221622,1.4562833305715024,5.219127229691747e-05,1.0188662132667077e-07,1337,0.032769607843137254,051,2,Unknown,first,first trials/051_2.csv,4.294917862561126
33920,212.10558,2.5298668783215907,1.5031283580433037,3.39942095284441e-05,-0.0001343004006050122,1123,0.033107311320754715,051,3,Unknown,first,first trials/051_3.csv,5.078810657452928
40800,256.183537,1.4870193098218298,0.9654317275697454,3.1426774547722265e-05,2.4243032387547645e-05,1876,0.04598039215686275,032,0,Unknown,first,first trials/032_0.csv,4.266644792982849
40800,256.183537,1.4870193098218298,0.9654317275697454,3.1426774547722265e-05,2.4243032387547645e-05,1876,0.04598039215686275,032,0,Unknown,first,first trials/032_0.csv,4.580795704126238
33920,212.009155,4.140422867319774,2.679874262903537,8.25146776527572e-05,-0.00011089315320938741,0,0.0,016,1,Unknown,first,first trials/016_1.csv,4.8172012701846665
33920,212.009155,4.140422867319774,2.679874262903537,8.25146776527572e-05,-0.00011089315320938741,0,0.0,016,1,Unknown,first,first trials/016_1.csv,5.281526492997307
33920,212.508733,2.49090373186659,1.7769793571410453,8.467897424252749e-05,-1.5133385268268281e-05,1957,0.057694575471698116,053,1,Unknown,first,first trials/053_1.csv,5.391843674006971
40800,255.481211,1.9142744737851685,1.3495975935243305,3.340505073632147e-05,-5.1945451851490895e-06,1826,0.04475490196078431,048,2,Unknown,first,first trials/048_2.csv,5.180465194150572
40800,255.481211,1.9142744737851685,1.3495975935243305,3.340505073632147e-05,-5.1945451851490895e-06,1826,0.04475490196078431,048,2,Unknown,first,first trials/048_2.csv,5.088830278295861
33819,211.48758,2.161494598304412,2.2209901578974964,6.479765802848407e-05,-8.962369399966033e-06,0,0.0,029,3,Unknown,first,first trials/029_3.csv,3.895028212822001
33819,211.48758,2.161494598304412,2.2209901578974964,6.479765802848407e-05,-8.962369399966033e-06,0,0.0,029,3,Unknown,first,first trials/029_3.csv,4.749197839614177
33895,212.347056,1.694139212519743,1.6782743080978932,2.9143804571404138e-05,-6.382406294242131e-06,0,0.0,029,1,Unknown,first,first trials/029_1.csv,4.339288251256567
33895,212.347056,1.694139212519743,1.6782743080978932,2.9143804571404138e-05,-6.382406294242131e-06,0,0.0,029,1,Unknown,first,first trials/029_1.csv,4.811651953610079
7458,46.573715,1.7796568277000058,1.3576282702999805,0.0004495052713191641,0.00021294014284808558,304,0.04076159828372218,048,0,Unknown,first,first trials/048_0.csv,4.367185271863437
7458,46.573715,1.7796568277000058,1.3576282702999805,0.0004495052713191641,0.00021294014284808558,304,0.04076159828372218,048,0,Unknown,first,first trials/048_0.csv,3.9959863276719068
33920,213.254477,1.637179884983366,0.9665380406377523,3.269274593557709e-05,-2.2632599204156795e-05,24,0.0007075471698113207,016,3,Unknown,first,first trials/016_3.csv,5.474684178426924
33920,213.254477,1.637179884983366,0.9665380406377523,3.269274593557709e-05,-2.2632599204156795e-05,24,0.0007075471698113207,016,3,Unknown,first,first trials/016_3.csv,5.348213164656697
33920,212.431048,2.45949300574097,1.5607023162364104,9.134441619610397e-05,1.0256357072406832e-05,1148,0.03384433962264151,051,1,Unknown,first,first trials/051_1.csv,4.957131662690274
40800,255.398628,1.6048293211810112,1.1248699593409277,2.7118974472931503e-05,-1.3300532733676449e-05,1961,0.04806372549019608,032,2,Unknown,first,first trials/032_2.csv,4.414925793509275
40800,255.398628,1.6048293211810112,1.1248699593409277,2.7118974472931503e-05,-1.3300532733676449e-05,1961,0.04806372549019608,032,2,Unknown,first,first trials/032_2.csv,4.606556603276484
33920,213.286774,1.6337572247370575,1.3214505739454905,3.2062380385158795e-05,1.1304361662472367e-05,1548,0.045636792452830185,032,3,Unknown,first,first trials/032_3.csv,3.5959325983246764
33920,213.286774,1.6337572247370575,1.3214505739454905,3.2062380385158795e-05,1.1304361662472367e-05,1548,0.045636792452830185,032,3,Unknown,first,first trials/032_3.csv,4.9365261194188585
40800,255.568834,2.321948015607862,1.394975045744457,0.00012350690027492121,-1.856994953024291e-05,1428,0.035,051,0,Unknown,first,first trials/051_0.csv,4.785447705945831
40800,256.23743,1.5669139967805512,0.947246067796146,3.457346396719454e-05,-2.4195804228024646e-06,33,0.0008088235294117647,016,2,Unknown,first,first trials/016_2.csv,4.165967272631198
40800,256.23743,1.5669139967805512,0.947246067796146,3.457346396719454e-05,-2.4195804228024646e-06,33,0.0008088235294117647,016,2,Unknown,first,first trials/016_2.csv,4.6864666689261805
33920,212.32478,1.8685730285936089,1.3055222613065192,9.658772295865418e-05,3.6404378900817384e-05,1487,0.04383844339622642,048,1,Unknown,first,first trials/048_1.csv,5.423561936400674
33920,212.32478,1.8685730285936089,1.3055222613065192,9.658772295865418e-05,3.6404378900817384e-05,1487,0.04383844339622642,048,1,Unknown,first,first trials/048_1.csv,5.152258499488643
40792,255.77896,1.9523001574395034,1.8168301524616868,3.153590468827131e-05,7.264551367525333e-06,0,0.0,029,0,Unknown,first,first trials/029_0.csv,3.745977921093255
40792,255.77896,1.9523001574395034,1.8168301524616868,3.153590468827131e-05,7.264551367525333e-06,0,0.0,029,0,Unknown,first,first trials/029_0.csv,4.740578707056064
33920,212.184025,1.7244077694269124,1.2159633135515198,3.384943942188542e-05,-1.0903346252443574e-05,0,0.0,034,1,Unknown,first,first trials/034_1.csv,4.571878700914942
33920,212.296455,1.7583826399675127,1.0582153542776755,5.604365694105959e-05,2.0772620928382466e-05,0,0.0,071,1,Unknown,first,first trials/071_1.csv,5.252274146408174
33920,212.296455,1.7583826399675127,1.0582153542776755,5.604365694105959e-05,2.0772620928382466e-05,0,0.0,071,1,Unknown,first,first trials/071_1.csv,5.181282205342358
40800,255.734441,2.412725730082138,1.6328814625224657,9.75867684188873e-05,4.853670978355641e-05,390,0.009558823529411765,057,2,Unknown,first,first trials/057_2.csv,4.418374862194287
40800,255.734441,2.412725730082138,1.6328814625224657,9.75867684188873e-05,4.853670978355641e-05,390,0.009558823529411765,057,2,Unknown,first,first trials/057_2.csv,4.951495700140995
33920,213.426321,1.6869672574676866,1.096940171720717,3.9094529205230055e-05,-5.674901880620254e-05,457,0.013472877358490567,036,3,Unknown,first,first trials/036_3.csv,5.204405051750617
33920,213.426321,1.6869672574676866,1.096940171720717,3.9094529205230055e-05,-5.674901880620254e-05,457,0.013472877358490567,036,3,Unknown,first,first trials/036_3.csv,5.122307430115683
33912,212.776135,2.489582305430323,1.4648222863686386,6.037590474985757e-05,-6.197699132465555e-05,0,0.0,009,1,Unknown,first,first trials/009_1.csv,3.6816156186073083
33912,212.776135,2.489582305430323,1.4648222863686386,6.037590474985757e-05,-6.197699132465555e-05,0,0.0,009,1,Unknown,first,first trials/009_1.csv,2.975638608209851
40800,259.322406,2.0433654983289355,1.1314715935065496,5.2616458893795866e-05,1.2704209377135483e-05,0,0.0,009,0,Unknown,first,first trials/009_0.csv,4.319300595308595
40800,259.322406,2.0433654983289355,1.1314715935065496,5.2616458893795866e-05,1.2704209377135483e-05,0,0.0,009,0,Unknown,first,first trials/009_0.csv,4.480875590174713
40800,256.08519,1.7329991783156562,1.098797043252852,6.760705989682489e-06,-1.1721142544451308e-05,539,0.01321078431372549,036,2,Unknown,first,first trials/036_2.csv,4.9157629573340245
40800,256.08519,1.7329991783156562,1.098797043252852,6.760705989682489e-06,-1.1721142544451308e-05,539,0.01321078431372549,036,2,Unknown,first,first trials/036_2.csv,5.164710091987869
33920,213.430054,2.8659807407222115,2.054597724373142,3.328473292062297e-05,-4.5590182870620945e-05,358,0.010554245283018867,057,3,Unknown,first,first trials/057_3.csv,4.7572442808328725
40800,256.052874,1.5873163411810562,0.9628383173280165,5.561808907230927e-05,9.080455056190652e-06,0,0.0,071,0,Unknown,first,first trials/071_0.csv,4.247728266277249
40800,256.052874,1.5873163411810562,0.9628383173280165,5.561808907230927e-05,9.080455056190652e-06,0,0.0,071,0,Unknown,first,first trials/071_0.csv,3.6794230548605547
33920,212.91239,2.4891185526039634,1.4349829559937863,5.794857556909458e-05,2.077122320680153e-05,355,0.010465801886792452,057,1,Unknown,first,first trials/057_1.csv,5.553177992469927
33920,212.91239,2.4891185526039634,1.4349829559937863,5.794857556909458e-05,2.077122320680153e-05,355,0.010465801886792452,057,1,Unknown,first,first trials/057_1.csv,5.303428515999315
2,48.035683,7.697001696167111,7.697001696167111,7.697001696167111,7.697001696167111,0,0.0,071,2,Unknown,first,first trials/071_2.csv,1.0
