fixation_count,mean_fixation_duration_ms,mean_fixation_dispersion,participant_id,trial_number,condition,trial_type,file_path
0,,,029,2,Unknown,first,first trials/029_2.csv
0,,,048,3,Unknown,first,first trials/048_3.csv
0,,,016,0,Unknown,first,first trials/016_0.csv
0,,,053,0,Unknown,first,first trials/053_0.csv
0,,,032,1,Unknown,first,first trials/032_1.csv
0,,,051,2,Unknown,first,first trials/051_2.csv
0,,,051,3,Unknown,first,first trials/051_3.csv
0,,,032,0,Unknown,first,first trials/032_0.csv
0,,,016,1,Unknown,first,first trials/016_1.csv
0,,,053,1,Unknown,first,first trials/053_1.csv
0,,,048,2,Unknown,first,first trials/048_2.csv
0,,,029,3,Unknown,first,first trials/029_3.csv
0,,,029,1,Unknown,first,first trials/029_1.csv
0,,,048,0,Unknown,first,first trials/048_0.csv
0,,,016,3,Unknown,first,first trials/016_3.csv
0,,,051,1,Unknown,first,first trials/051_1.csv
0,,,032,2,Unknown,first,first trials/032_2.csv
0,,,032,3,Unknown,first,first trials/032_3.csv
0,,,051,0,Unknown,first,first trials/051_0.csv
0,,,016,2,Unknown,first,first trials/016_2.csv
0,,,048,1,Unknown,first,first trials/048_1.csv
0,,,029,0,Unknown,first,first trials/029_0.csv
0,,,034,1,Unknown,first,first trials/034_1.csv
0,,,071,1,Unknown,first,first trials/071_1.csv
0,,,057,2,Unknown,first,first trials/057_2.csv
0,,,036,3,Unknown,first,first trials/036_3.csv
0,,,009,1,Unknown,first,first trials/009_1.csv
0,,,009,0,Unknown,first,first trials/009_0.csv
0,,,036,2,Unknown,first,first trials/036_2.csv
0,,,057,3,Unknown,first,first trials/057_3.csv
0,,,071,0,Unknown,first,first trials/071_0.csv
0,,,057,1,Unknown,first,first trials/057_1.csv
0,,,071,2,Unknown,first,first trials/071_2.csv
0,,,034,2,Unknown,first,first trials/034_2.csv
0,,,036,0,Unknown,first,first trials/036_0.csv
0,,,009,2,Unknown,first,first trials/009_2.csv
0,,,009,3,Unknown,first,first trials/009_3.csv
0,,,036,1,Unknown,first,first trials/036_1.csv
0,,,071,3,Unknown,first,first trials/071_3.csv
0,,,057,0,Unknown,first,first trials/057_0.csv
0,,,050,1,Unknown,first,first trials/050_1.csv
0,,,015,1,Unknown,first,first trials/015_1.csv
0,,,033,2,Unknown,first,first trials/033_2.csv
0,,,017,3,Unknown,first,first trials/017_3.csv
0,,,052,3,Unknown,first,first trials/052_3.csv
0,,,031,0,Unknown,first,first trials/031_0.csv
0,,,049,0,Unknown,first,first trials/049_0.csv
0,,,028,1,Unknown,first,first trials/028_1.csv
0,,,028,0,Unknown,first,first trials/028_0.csv
0,,,049,1,Unknown,first,first trials/049_1.csv
0,,,031,1,Unknown,first,first trials/031_1.csv
0,,,017,2,Unknown,first,first trials/017_2.csv
0,,,052,2,Unknown,first,first trials/052_2.csv
0,,,033,3,Unknown,first,first trials/033_3.csv
0,,,050,0,Unknown,first,first trials/050_0.csv
0,,,015,0,Unknown,first,first trials/015_0.csv
0,,,033,1,Unknown,first,first trials/033_1.csv
0,,,015,2,Unknown,first,first trials/015_2.csv
0,,,050,2,Unknown,first,first trials/050_2.csv
0,,,031,3,Unknown,first,first trials/031_3.csv
0,,,052,0,Unknown,first,first trials/052_0.csv
0,,,017,0,Unknown,first,first trials/017_0.csv
0,,,049,3,Unknown,first,first trials/049_3.csv
0,,,028,2,Unknown,first,first trials/028_2.csv
0,,,028,3,Unknown,first,first trials/028_3.csv
0,,,049,2,Unknown,first,first trials/049_2.csv
0,,,052,1,Unknown,first,first trials/052_1.csv
0,,,017,1,Unknown,first,first trials/017_1.csv
0,,,031,2,Unknown,first,first trials/031_2.csv
0,,,015,3,Unknown,first,first trials/015_3.csv
0,,,050,3,Unknown,first,first trials/050_3.csv
0,,,033,0,Unknown,first,first trials/033_0.csv
0,,,008,2,Unknown,first,first trials/008_2.csv
0,,,069,3,Unknown,first,first trials/069_3.csv
0,,,011,3,Unknown,first,first trials/011_3.csv
0,,,054,3,Unknown,first,first trials/054_3.csv
0,,,037,0,Unknown,first,first trials/037_0.csv
0,,,056,1,Unknown,first,first trials/056_1.csv
1,100.0,0.2840135361063719,013,1,Unknown,first,first trials/013_1.csv
0,,,070,2,Unknown,first,first trials/070_2.csv
0,,,070,3,Unknown,first,first trials/070_3.csv
1,100.0,0.0765573773796775,056,0,Unknown,first,first trials/056_0.csv
0,,,013,0,Unknown,first,first trials/013_0.csv
0,,,037,1,Unknown,first,first trials/037_1.csv
0,,,011,2,Unknown,first,first trials/011_2.csv
0,,,054,2,Unknown,first,first trials/054_2.csv
0,,,069,2,Unknown,first,first trials/069_2.csv
0,,,008,3,Unknown,first,first trials/008_3.csv
0,,,008,1,Unknown,first,first trials/008_1.csv
0,,,069,0,Unknown,first,first trials/069_0.csv
0,,,037,3,Unknown,first,first trials/037_3.csv
0,,,054,0,Unknown,first,first trials/054_0.csv
0,,,011,0,Unknown,first,first trials/011_0.csv
0,,,070,1,Unknown,first,first trials/070_1.csv
0,,,013,2,Unknown,first,first trials/013_2.csv
0,,,056,2,Unknown,first,first trials/056_2.csv
