feature,mean_abs_shap,std_abs_shap
blink_count,0.10216218092623332,0.055694744107036315
blink_rate,0.10216218092623319,0.055694744107036294
mean_fixation_dispersion,0.06393864472337561,0.047856374295496024
mean_fixation_duration_ms,0.06393864472337558,0.04785637429549603
gaze_entropy,0.05897295799020952,0.042419144857521004
fixation_count,0.05897295799020942,0.042419144857521004
std_velocity,0.040277900109272444,0.026388565336208897
mean_velocity,0.04027790010927244,0.0263885653362089
mean_acceleration,0.03666382959456177,0.03353280354402063
mean_jerk,0.03666382959456176,0.03353280354402063
duration_time,0.009628261191239757,0.011626649556324784
duration_samples,0.009628261191239754,0.011626649556324807
